ccy,U6_1Y,U6_2Y,U6_3Y,1x2_bp,1x3_bp,hikes_1Y,source
USD,4.071218733744011,4.080091916495551,4.054149377138946,0.8873182751539588,-1.70693566050657,1.9116799999999987,Citi OIS (1Y1M-1M)
EUR,2.937337782340862,2.9351422997946615,2.9190279260780287,-0.21954825462007221,-1.8309856262833435,2.306840000000001,Citi OIS (1Y1M-1M)
GBP,4.285663655030801,4.263917590691308,4.24649370294319,-2.174606433949311,-3.916995208761076,2.226840000000001,Citi OIS (1Y1M-1M)
NZD,3.463110848733744,3.692254715947981,3.7964294661190965,22.914386721423696,33.33186173853524,4.65836,Citi OIS (1Y1M-1M)
AUD,4.936215400410677,4.884849007529089,4.841758316221766,-5.136639288158751,-9.445708418891119,0.9068000000000005,Citi OIS (1Y1M-1M)
JPY,1.2879718685831623,1.556454688569473,1.7390041067761808,26.848281998631073,45.10322381930185,2.0645200000000004,Citi OIS (1Y1M-1M)
SGD,1.4622058590006843,1.6884017796030115,1.8368583025325118,22.61959206023272,37.46524435318275,1.3950400000000007,Citi OIS (1Y1M-1M)
THB,1.326400636550308,1.4949996167008899,1.640066769336071,16.859898015058185,31.366613278576306,1.6868400000000001,Citi OIS (1Y1M-1M)
INR,6.217723819301848,6.400799247091033,6.4895347022587275,18.307542778918506,27.18108829568795,3.541879999999999,Citi OIS (1Y1M-1M)
KRW,4.029489938398357,4.200188911704312,4.233578028747433,17.069897330595474,20.408809034907627,6.065600000000002,BBG (1Y1M-1M1M)
